Timestamp,Stimulus,Action,Correct,Reaction_Time_ms
2025-07-12 11:21:49,Go,Shoot,Yes,1417
2025-07-12 11:21:50,Go,Shoot,Yes,1171
2025-07-12 11:21:53,Go,Shoot,Yes,2057
2025-07-12 11:21:54,Go,Shoot,Yes,2003
2025-07-12 11:21:55,Go,Shoot,Yes,1648
2025-07-12 11:21:55,No-Go,No Shot,Yes,
2025-07-12 11:21:55,Go,Shoot,Yes,1538
2025-07-12 11:21:58,Go,Shoot,Yes,1741
2025-07-12 11:21:58,No-Go,No Shot,Yes,
2025-07-12 11:21:59,Go,Shoot,Yes,1560
2025-07-12 11:21:59,Go,No Shot,No,
2025-07-12 11:21:59,Go,Shoot,Yes,1315
2025-07-12 11:22:01,Go,Shoot,Yes,1360
2025-07-12 11:22:02,Go,Shoot,Yes,1366
2025-07-12 11:22:02,Go,No Shot,No,
2025-07-12 11:22:02,Go,Shoot,Yes,1435
2025-07-12 11:22:03,Go,Shoot,Yes,1530
2025-07-12 11:22:04,Go,Shoot,Yes,1533
2025-07-12 11:22:05,Go,Shoot,Yes,1254
2025-07-12 11:22:06,No-Go,No Shot,Yes,
2025-07-12 11:22:07,Go,Shoot,Yes,1341
2025-07-12 11:22:07,No-Go,No Shot,Yes,
2025-07-12 11:22:07,Go,Shoot,Yes,1460
2025-07-12 11:22:07,No-Go,No Shot,Yes,
2025-07-12 11:22:08,Go,Shoot,Yes,1420
2025-07-12 11:22:08,Go,Shoot,Yes,981
2025-07-12 11:22:09,Go,Shoot,Yes,1114
2025-07-12 11:22:09,No-Go,No Shot,Yes,
2025-07-12 11:22:10,Go,Shoot,Yes,966
2025-07-12 11:22:11,No-Go,No Shot,Yes,
2025-07-12 11:22:11,No-Go,No Shot,Yes,
2025-07-12 11:22:12,Go,Shoot,Yes,905
2025-07-12 11:22:12,No-Go,No Shot,Yes,
2025-07-12 11:22:12,Go,Shoot,Yes,1045
2025-07-12 11:22:12,No-Go,No Shot,Yes,
2025-07-12 11:22:13,No-Go,No Shot,Yes,
2025-07-12 11:22:14,No-Go,No Shot,Yes,
2025-07-12 11:22:14,Go,No Shot,No,
2025-07-12 11:22:14,Go,No Shot,No,
2025-07-12 11:22:15,No-Go,No Shot,Yes,
2025-07-12 11:22:15,No-Go,No Shot,Yes,
2025-07-12 11:22:15,Go,No Shot,No,
2025-07-12 11:22:16,Go,No Shot,No,
2025-07-12 11:22:16,Go,No Shot,No,
2025-07-12 11:22:16,Go,No Shot,No,
2025-07-12 11:22:16,Go,No Shot,No,
2025-07-12 11:22:17,Go,No Shot,No,
2025-07-12 11:22:17,Go,No Shot,No,
2025-07-12 11:22:17,Go,No Shot,No,
2025-07-12 11:22:17,Go,No Shot,No,
2025-07-12 11:22:18,Go,No Shot,No,
2025-07-12 11:22:18,Go,Shoot,Yes,1485
2025-07-12 11:22:18,Go,No Shot,No,
2025-07-12 11:22:18,Go,Shoot,Yes,1396
2025-07-12 11:22:18,No-Go,No Shot,Yes,
2025-07-12 11:22:19,Go,Shoot,Yes,1514
2025-07-12 11:22:19,Go,Shoot,Yes,1498
2025-07-12 11:22:19,No-Go,No Shot,Yes,
2025-07-12 11:22:20,Go,No Shot,No,
2025-07-12 11:22:20,No-Go,No Shot,Yes,
2025-07-12 11:22:20,No-Go,No Shot,Yes,
2025-07-12 11:22:20,No-Go,No Shot,Yes,
2025-07-12 11:22:20,Go,No Shot,No,
2025-07-12 11:22:21,No-Go,No Shot,Yes,
2025-07-12 11:22:21,Go,No Shot,No,
2025-07-12 11:22:21,Go,No Shot,No,
2025-07-12 11:22:21,No-Go,No Shot,Yes,
2025-07-12 11:22:22,Go,No Shot,No,
2025-07-12 11:22:22,Go,No Shot,No,
2025-07-12 11:22:22,No-Go,No Shot,Yes,
2025-07-12 11:22:22,Go,No Shot,No,
2025-07-12 11:22:22,Go,No Shot,No,
2025-07-12 11:22:23,Go,No Shot,No,
2025-07-12 11:22:23,Go,No Shot,No,
2025-07-12 11:22:23,Go,No Shot,No,
2025-07-12 11:22:23,Go,No Shot,No,
2025-07-12 11:22:23,Go,No Shot,No,
2025-07-12 11:22:24,Go,No Shot,No,
2025-07-12 11:22:24,Go,No Shot,No,
2025-07-12 11:22:24,Go,No Shot,No,
2025-07-12 11:22:24,Go,No Shot,No,
2025-07-12 11:22:24,Go,No Shot,No,
2025-07-12 11:22:25,No-Go,No Shot,Yes,
2025-07-12 11:22:25,No-Go,No Shot,Yes,
2025-07-12 11:22:25,Go,No Shot,No,
2025-07-12 11:22:25,Go,No Shot,No,
2025-07-12 11:22:25,Go,No Shot,No,
2025-07-12 11:22:26,Go,Shoot,Yes,1464
2025-07-12 11:22:26,Go,No Shot,No,
2025-07-12 11:22:26,No-Go,No Shot,Yes,
2025-07-12 11:22:26,Go,No Shot,No,
2025-07-12 11:22:27,No-Go,No Shot,Yes,
2025-07-12 11:22:27,No-Go,No Shot,Yes,
2025-07-12 11:22:27,Go,No Shot,No,
2025-07-12 11:22:27,No-Go,No Shot,Yes,
2025-07-12 11:22:27,Go,No Shot,No,
2025-07-12 11:22:28,Go,No Shot,No,
2025-07-12 11:22:28,Go,Shoot,Yes,1384
2025-07-12 11:22:28,No-Go,No Shot,Yes,
2025-07-12 11:22:28,No-Go,No Shot,Yes,
2025-07-12 11:22:28,Go,Shoot,Yes,1669
2025-07-12 11:22:29,No-Go,No Shot,Yes,
2025-07-12 11:22:29,Go,Shoot,Yes,1563
2025-07-12 11:22:29,Go,No Shot,No,
